Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2017,1,1,0,30,17.6,0,0,0,4,17.6,0,0,0,0,258,100,129.44,0.23,867,3.6,66,2.4000000000000004
2017,1,1,1,30,17.400000000000002,0,0,0,4,17.400000000000002,0,0,0,0,258,100,116.82000000000001,0.23,868,3.5,64,2.2
2017,1,1,2,30,17.3,0,0,0,4,17.3,0,0,0,0,258,100,103.53,0.23,868,3.5,62,2.2
2017,1,1,3,30,17.900000000000002,0,0,0,4,17.3,0,0,0,0,258,96.23,89.51,0.23,868,3.5,59,2.8000000000000003
2017,1,1,4,30,19.3,60,571,198,1,17.8,60,571,0,198,258,90.78,76.06,0.23,869,3.4000000000000004,55,3.8000000000000003
2017,1,1,5,30,21.5,85,785,449,0,17.900000000000002,85,785,0,449,259,79.75,62.31,0.23,869,3.4000000000000004,50,4.3
2017,1,1,6,30,23.700000000000003,98,888,684,0,17.400000000000002,98,888,0,684,259,67.96000000000001,48.72,0.23,869,3.4000000000000004,50,4.3
2017,1,1,7,30,25.3,108,940,872,0,17.3,108,940,0,872,259,61.2,35.660000000000004,0.23,869,3.4000000000000004,53,3.9000000000000004
2017,1,1,8,30,26.400000000000002,116,962,994,3,17.3,504,194,0,681,259,57.35,24.150000000000002,0.23,868,3.5,58,3.5
2017,1,1,9,30,27,121,968,1044,3,17.2,430,37,1,465,258,55.17,17.66,0.23,867,3.5,64,3.2
2017,1,1,10,30,27.200000000000003,122,960,1016,3,17,421,38,0,456,258,53.67,21.42,0.23,866,3.5,69,3
2017,1,1,11,30,26.8,118,934,911,1,16.8,118,934,0,911,257,54.120000000000005,31.990000000000002,0.23,865,3.6,71,3
2017,1,1,12,30,26,111,884,738,3,16.8,201,10,0,208,256,56.97,44.76,0.23,865,3.7,70,3
2017,1,1,13,30,25,97,796,516,4,17,90,0,0,90,257,61.22,58.24,0.23,865,3.7,71,2.9000000000000004
2017,1,1,14,30,23.3,76,615,266,4,17.6,20,0,0,20,257,70.27,71.98,0.23,866,3.8000000000000003,72,2.3000000000000003
2017,1,1,15,30,21.6,30,172,43,4,18.7,4,0,3,4,257,83.82000000000001,85.67,0.23,867,3.8000000000000003,74,1.8
2017,1,1,16,30,20.6,0,0,0,4,18.6,0,0,0,0,258,88.47,99.52,0.23,868,3.7,76,2
2017,1,1,17,30,19.900000000000002,0,0,0,0,18.5,0,0,0,0,258,91.62,112.94,0.23,868,3.7,77,2.1
2017,1,1,18,30,19.3,0,0,0,1,18.5,0,0,0,0,258,94.98,125.82000000000001,0.23,868,3.6,78,2.1
2017,1,1,19,30,18.900000000000002,0,0,0,3,18.5,0,0,0,0,258,97.35000000000001,137.59,0.23,868,3.6,78,2.1
2017,1,1,20,30,18.6,0,0,0,0,18.400000000000002,0,0,0,0,258,98.82000000000001,147,0.23,868,3.5,77,2.1
2017,1,1,21,30,18.3,0,0,0,7,18.3,0,0,0,0,258,99.82000000000001,151.56,0.23,867,3.4000000000000004,74,2.2
2017,1,1,22,30,18.1,0,0,0,0,18.1,0,0,0,0,258,99.85000000000001,149.05,0.23,867,3.4000000000000004,69,2.3000000000000003
